,EquipmentNumber,EquipmentModel,EquipmentMake,compartid,compart,compartsn,oiltypeid,oilgradeid,coolantid,notesos,sampledate,oiladded,oilhours,actual_fluid_hours,meterread,oilchanged,filterchanged,evalcode,Problem Solved,Action Taken,Water,V40,V100,VI,GC Fuel,GC Glycol,Color,S-Color,Colour Desc,Appearance,Oil_contamin,Precip_Amount,Precip_Appear,Precip_Contam,Precip_Contam_Properties,Odor,Foaming,pH Coolant,Cond,MO4 raw,FPoint,Glycol,BP,KF Water,Fe,Cu,Pb,Sn,Cr,Ni,Ti,Al,Si,Na,K,B,Ca,Mg,P ,Zn,Mo,Li,Sb,Ba,Cd,Mn,Ag,V,4u,6u,14u,21u,38u,70u,ISO,Cutting,Sliding,Fatigue,Non Metallic,Fibers,Total Part/ml,NO2,pqL Index,Soot,OXI,NIT,Sulf,AW,FT-IR Glycol,FT-IR Water,Cap Inspect,DamageDelta
170,473.0,EH5000,EUCLID         ,E,Engine,,CHEVRON DELO 400 LE,15W40,,Wear Rate; Oil Condition and Total Ferrous Debris (pqL) index are acceptable. No action required. Continue to build a reliable operating trend. Sample again at the next scheduled service interval.,2017-08-02,,456.0,456.0,82600.0,True,True,A,False,False,,,15.41,,,,,,,,,,,,,,,,,,,,,,12,1,0,0,0,0,0,2,3,2,0,433,1526,370,983,1260,96,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,56.0,20,9.0,25.0,23,0.0,16,,
171,473.0,EH5000,EUCLID         ,LRF,Left Rear Final Drive,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval.,2017-08-02,,456.0,456.0,82600.0,False,False,A,False,False,,640.1,71.61,190,,,,,,,,,,,,,,,,,,,,,68,1,0,0,0,1,0,0,3,0,0,19,27,0,265,2,0,0,0,0,0,1,0,0,4419,892,38,15,3,0,19/17/12,12,15,4,30,23,4419,,39,,28,,,13,,3,,
172,473.0,EH5000,EUCLID         ,RRF,Right Rear Final Drive,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval.,2017-08-02,,456.0,456.0,82600.0,False,False,A,False,False,,631.5,71.3,191,,,,,,,,,,,,,,,,,,,,,103,3,0,0,0,1,0,0,4,0,1,19,25,0,265,1,0,0,0,0,0,1,0,0,1113741,218855,2043,142,5,0,27/25/18,51,415,814,39,13,1113741,,62,,29,,,14,,4,,
173,473.0,EH5000,EUCLID         ,LFW,Left Front Wheel,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Total Ferrous Debris (pqL) index are acceptable. Particle count indicates acceptable particulate contamination. No action required. Continue to build a reliable operating trend. Sample again at the next scheduled service interval.,2017-08-02,,456.0,456.0,82600.0,True,False,A,False,False,,613,68.8,189,,,,,,,,,,,,,,,,,,,,,102,0,0,0,1,1,0,0,9,0,1,23,27,0,260,1,0,0,0,0,0,1,0,0,166637,39863,827,106,8,0,25/22/17,44,44,224,144,0,166637,,23,,28,,,13,,4,,
174,473.0,EH5000,EUCLID         ,RFW,Right Front Wheel,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval.,2017-08-02,,456.0,456.0,82600.0,True,False,A,False,False,,624.8,70.05,190,,,,,,,,,,,,,,,,,,,,,66,0,0,0,1,1,0,1,11,0,1,24,28,0,278,1,0,0,0,0,0,0,0,0,132521,24286,183,26,6,0,24/22/15,7,18,82,21,6,132521,,25,,29,,,13,,5,,
175,473.0,EH5000,EUCLID         ,HYBE,Hydraulic System Before,,CHEVRON HD,10WT,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval.,2017-08-02,,16011.0,16011.0,82600.0,False,False,A,False,False,,,6.58,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,1,0,0,2,8,3,2,5,3052,11,870,1045,1,0,0,0,0,0,0,0,915,398,48,8,0,0,17/16/13,5,9,5,29,1,915,,5,0.0,6,4.0,13.0,16,0.0,12,,
176,473.0,EH5000,EUCLID         ,HYAF,Hydraulic System After,,CHEVRON HD,10WT,,Fine metal Wear Rate Analysis by ICP of particles less than 10 microns appears acceptable. Total Ferrous Debris (pqL) index appears acceptable. Oil Condition Analysis test results are acceptable. Cap inspection indicates visible non-metallic debris is in the sample. Oil is too contaminated to obtain particle count analysis test results. Resample ASAP to verify these results prior to any additional corrective action.	,2017-08-02,,82600.0,82600.0,82600.0,False,True,C,False,False,,,6.58,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,1,0,0,3,12,2,3,5,3033,12,871,1048,1,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,,18,0.0,5,3.0,13.0,15,0.0,12,C1,
177,473.0,EH5000,EUCLID         ,S,Steering System,,CHEVRON DELO TORQFORCE (Formerly Drive Train HD),10WT,,Fine metal Wear Rate Analysis by ICP of particles less than 10 microns appears acceptable. Total Ferrous Debris (pqL) index appears acceptable. Oil Condition Analysis test results are acceptable. Cap inspection indicates visible non-metallic debris is in the sample. Oil is too contaminated to obtain particle count analysis test results. Resample ASAP to verify these results prior to any additional corrective action.	,2017-08-02,,456.0,456.0,82600.0,False,True,C,False,False,,,6.65,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,1,10,2,1,4,3060,12,844,1028,1,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,,10,0.0,6,3.0,13.0,16,0.0,11,A1,
178,473.0,EH5000,EUCLID         ,LRF,Left Rear Final Drive,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval.,2017-07-17,,170.0,170.0,82314.0,False,False,A,False,False,,625.3,71.67,194,,,,,,,,,,,,,,,,,,,,,30,1,1,0,0,0,0,0,2,0,0,17,25,0,250,1,0,0,0,0,0,0,0,0,124868,27467,351,22,0,0,24/22/16,6,20,82,11,0,124868,,11,,28,,,12,,3,,
179,473.0,EH5000,EUCLID         ,RRF,Right Rear Final Drive,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval.,2017-07-17,,170.0,170.0,82314.0,False,False,A,False,False,,619.7,70.96,193,,,,,,,,,,,,,,,,,,,,,46,2,0,0,0,0,0,0,3,0,0,17,24,0,253,1,0,0,0,0,0,0,0,0,413368,87111,1343,83,5,0,26/24/18,9,169,468,3,0,413368,,31,,28,,,13,,3,,
180,473.0,EH5000,EUCLID         ,LFW,Left Front Wheel,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval.,2017-07-17,,170.0,170.0,82314.0,False,False,A,False,False,,620.7,71.07,193,,,,,,,,,,,,,,,,,,,,,48,0,0,0,0,0,0,0,5,1,0,19,25,0,246,1,0,0,0,0,0,0,0,0,51943,10900,122,5,0,0,23/21/14,0,5,58,6,0,51943,,15,,28,,,12,,3,,
181,473.0,EH5000,EUCLID         ,RFW,Right Front Wheel,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval.,2017-07-17,,170.0,170.0,82314.0,False,False,A,False,False,,631.3,68.24,184,,,,,,,,,,,,,,,,,,,,,34,0,0,0,0,0,0,0,5,0,1,19,24,1,247,1,0,0,0,0,0,0,0,0,64117,13647,92,9,0,0,23/21/14,14,15,49,0,20,64117,,15,,29,,,12,,3,,
182,473.0,EH5000,EUCLID         ,H,Hydraulic System,,CHEVRON DELO TORQFORCE (Formerly Drive Train HD),10WT,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval.,2017-07-17,,1053.0,1053.0,82314.0,False,False,A,False,False,,,6.56,,,,,,,,,,,,,,,,,,,,,,3,0,6,0,1,0,0,2,7,0,0,5,3256,11,864,1083,1,0,0,0,0,0,0,0,1322,469,40,16,0,0,18/16/13,1,1,15,12,0,1322,,0,0.0,5,3.0,13.0,15,0.0,11,,
